Date,Temperature_C,pH,Dissolved_Oxygen_mg_L,Ammonia_mg_L,Nitrate_mg_L,Turbidity_NTU,Feed_Intake_Percent,Growth_Rate_g_week,Mortality_Count_per_day,Disease_Outbreak
2022-01-01,26.99,7.46,8.6,1.12,13.25,48.56,51.4,1.97,18,0
2022-01-02,25.72,7.95,7.89,0.06,18.55,54.52,67.1,1.25,9,1
2022-01-03,27.3,6.3,6.59,0.01,12.08,35.03,73.8,1.52,7,0
2022-01-04,29.05,7.28,5.53,0.5,16.92,30.82,100.0,1.52,5,0
2022-01-05,25.53,6.67,7.55,0.36,1.06,23.72,88.3,1.3,6,0
2022-01-06,25.53,6.76,7.09,0.14,22.13,27.62,60.0,0.95,0,0
2022-01-07,29.16,6.7,7.84,1.06,20.01,84.24,87.3,1.63,17,1
2022-01-08,27.53,6.57,7.45,1.26,11.83,58.67,56.8,1.48,19,1
2022-01-09,25.06,7.02,8.07,0.57,26.59,19.73,96.2,1.7,11,0
2022-01-10,27.09,6.58,5.7,1.68,29.38,20.16,72.9,1.29,15,0
2022-01-11,25.07,7.14,8.48,0.01,3.92,47.23,78.6,1.99,9,0
2022-01-12,25.07,6.97,6.8,0.35,12.37,48.21,99.9,1.15,9,0
2022-01-13,26.48,6.88,9.61,0.01,12.31,48.23,60.7,2.18,13,0
2022-01-14,22.17,6.55,5.47,0.01,10.6,36.18,59.0,0.8,19,0
2022-01-15,22.55,6.71,9.1,0.43,28.29,38.12,71.2,1.67,9,1
2022-01-16,24.88,7.38,6.8,0.4,18.06,44.92,95.6,1.69,9,1
2022-01-17,23.97,7.25,5.52,1.71,17.35,41.29,57.2,1.18,10,0
2022-01-18,26.63,6.51,5.77,1.0,0.0,6.71,37.5,1.67,1,1
2022-01-19,24.18,7.05,6.02,0.01,26.35,36.55,73.2,2.01,19,0
2022-01-20,23.18,7.38,7.14,1.98,7.61,27.23,88.3,0.61,7,0
2022-01-21,28.93,6.17,7.28,1.48,20.6,42.63,98.0,1.7,6,0
2022-01-22,25.55,7.27,5.64,0.97,22.77,84.78,73.1,0.5,7,0
2022-01-23,26.14,6.67,6.46,0.32,33.61,45.51,73.8,1.11,0,0
2022-01-24,23.15,7.29,9.71,0.01,6.91,35.3,97.3,2.15,1,0
2022-01-25,24.91,6.62,9.09,0.2,0.0,53.83,52.0,1.27,17,0
2022-01-26,26.22,6.1,7.15,1.37,21.84,47.24,74.2,1.03,14,1
2022-01-27,23.7,6.19,6.56,2.01,38.01,46.3,82.9,1.42,0,1
2022-01-28,26.75,7.02,6.68,1.73,32.39,49.1,86.7,2.33,4,0
2022-01-29,24.8,7.13,7.42,0.11,22.1,70.85,72.4,0.77,1,0
2022-01-30,25.42,6.55,4.97,0.01,15.08,23.04,80.5,1.08,19,0
2022-01-31,24.8,7.32,6.11,0.61,28.07,47.1,42.7,2.1,2,1
2022-02-01,29.7,6.17,4.0,0.01,10.26,26.1,70.1,2.24,18,1
2022-02-02,25.97,6.97,7.1,0.76,24.76,48.33,86.8,1.46,17,1
2022-02-03,23.88,6.39,7.47,0.38,25.05,26.22,65.3,1.0,17,0
2022-02-04,27.65,6.67,5.78,0.13,30.6,33.74,80.9,2.34,13,0
2022-02-05,23.56,7.02,8.86,0.01,47.6,35.57,86.7,2.14,7,0
2022-02-06,26.42,6.57,4.66,0.91,23.92,54.64,74.9,1.77,11,0
2022-02-07,22.08,6.81,4.3,0.07,14.91,53.78,82.6,1.18,9,1
2022-02-08,23.34,7.5,6.84,0.01,19.74,21.31,65.6,1.48,19,1
2022-02-09,26.39,6.71,8.07,0.01,2.31,40.82,76.9,1.44,16,0
2022-02-10,27.48,7.42,9.03,0.48,13.05,29.36,89.2,1.63,10,0
2022-02-11,26.34,6.44,5.81,1.92,15.91,21.12,82.4,2.08,1,1
2022-02-12,25.77,7.26,8.12,1.83,14.76,36.74,71.2,1.85,3,0
2022-02-13,25.4,7.72,6.44,0.13,21.52,35.37,83.4,1.07,0,0
2022-02-14,23.04,5.76,6.24,0.02,11.78,76.4,90.7,2.05,14,0
2022-02-15,24.56,6.6,7.83,0.88,31.21,46.49,49.3,1.63,12,0
2022-02-16,25.08,7.29,7.48,0.01,20.0,19.34,97.4,1.77,7,0
